,,
,,
Characteristic Energy eV,1486.6,Acquisition Time s
BE_Sur1 1,CPS_Sur1 1,Background_Sur1 1
1090.6,56426.5,56426.5
1090.2,55567.6,55567.6
1089.8,56061.8,56061.8
1089.4,55941.2,55941.2
1089,55644.1,55644.1
1088.6,56258.8,56258.8
1088.2,56447.1,56447.1
1087.8,56461.8,56461.8
1087.4,55911.8,55911.8
1087,56144.1,56144.1
1086.6,56520.6,56520.6
1086.2,55994.1,55994.1
1085.8,56002.9,56002.9
1085.4,55191.2,55191.2
1085,56594.1,56594.1
1084.6,55214.7,55214.7
1084.2,55997.1,55997.1
1083.8,55658.8,55658.8
1083.4,55967.6,55967.6
1083,55985.3,55985.3
1082.6,56429.4,56429.4
1082.2,55929.4,55929.4
1081.8,55767.6,55767.6
1081.4,56017.6,56017.6
1081,56208.8,56208.8
1080.6,56667.6,56667.6
1080.2,56376.5,56376.5
1079.8,56470.6,56470.6
1079.4,55744.1,55744.1
1079,56344.1,56344.1
1078.6,56761.8,56761.8
1078.2,56229.4,56229.4
1077.8,56291.2,56291.2
1077.4,56526.5,56526.5
1077,56147.1,56147.1
1076.6,56091.2,56091.2
1076.2,56214.7,56214.7
1075.8,56352.9,56352.9
1075.4,56326.5,56326.5
1075,55717.6,55717.6
1074.6,56747.1,56747.1
1074.2,56217.6,56217.6
1073.8,56688.2,56688.2
1073.4,56576.5,56576.5
1073,57117.6,57117.6
1072.6,57229.4,57229.4
1072.2,57994.1,57994.1
1071.8,57114.7,57114.7
1071.4,57320.6,57320.6
1071,56611.8,56611.8
1070.6,57291.2,57291.2
1070.2,56688.2,56688.2
1069.8,57476.5,57476.5
1069.4,56714.7,56714.7
1069,56944.1,56944.1
1068.6,57235.3,57235.3
1068.2,57667.6,57667.6
1067.8,58000,58000
1067.4,57355.9,57355.9
1067,57567.6,57567.6
1066.6,57385.3,57385.3
1066.2,57458.8,57458.8
1065.8,57155.9,57155.9
1065.4,57338.2,57338.2
1065,56738.2,56738.2
1064.6,57264.7,57264.7
1064.2,56738.2,56738.2
1063.8,57794.1,57794.1
1063.4,57502.9,57502.9
1063,57358.8,57358.8
1062.6,57620.6,57620.6
1062.2,57755.9,57755.9
1061.8,57988.2,57988.2
1061.4,56967.6,56967.6
1061,57473.5,57473.5
1060.6,57964.7,57964.7
1060.2,57144.1,57144.1
1059.8,57891.2,57891.2
1059.4,58647.1,58647.1
1059,56817.6,56817.6
1058.6,57697.1,57697.1
1058.2,57552.9,57552.9
1057.8,57594.1,57594.1
1057.4,56905.9,56905.9
1057,57008.8,57008.8
1056.6,57326.5,57326.5
1056.2,58026.5,58026.5
1055.8,57279.4,57279.4
1055.4,57358.8,57358.8
1055,57282.4,57282.4
1054.6,56952.9,56952.9
1054.2,56494.1,56494.1
1053.8,57208.8,57208.8
1053.4,57067.6,57067.6
1053,56450,56450
1052.6,57911.8,57911.8
1052.2,57800,57800
1051.8,57164.7,57164.7
1051.4,57535.3,57535.3
1051,57052.9,57052.9
1050.6,58094.1,58094.1
1050.2,57723.5,57723.5
1049.8,57976.5,57976.5
1049.4,58179.4,58179.4
1049,58338.2,58338.2
1048.6,59161.8,59161.8
1048.2,59058.8,59058.8
1047.8,59423.5,59423.5
1047.4,59858.8,59858.8
1047,61573.5,61573.5
1046.6,65294.1,65294.1
1046.2,68673.5,68673.5
1045.8,70370.6,70370.6
1045.4,73141.2,73141.2
1045,73470.6,73470.6
1044.6,71602.9,71602.9
1044.2,68197.1,68197.1
1043.8,64550,64550
1043.4,61985.3,61985.3
1043,60300,60300
1042.6,58379.4,58379.4
1042.2,58038.2,58038.2
1041.8,58047.1,58047.1
1041.4,58376.5,58376.5
1041,57914.7,57914.7
1040.6,58244.1,58244.1
1040.2,57702.9,57702.9
1039.8,58576.5,58576.5
1039.4,57770.6,57770.6
1039,58182.4,58182.4
1038.6,58061.8,58061.8
1038.2,58250,58250
1037.8,57608.8,57608.8
1037.4,57429.4,57429.4
1037,58120.6,58120.6
1036.6,57823.5,57823.5
1036.2,57173.5,57173.5
1035.8,57355.9,57355.9
1035.4,57120.6,57120.6
1035,57008.8,57008.8
1034.6,57394.1,57394.1
1034.2,57564.7,57564.7
1033.8,56926.5,56926.5
1033.4,57244.1,57244.1
1033,57820.6,57820.6
1032.6,57364.7,57364.7
1032.2,56117.6,56117.6
1031.8,56344.1,56344.1
1031.4,56473.5,56473.5
1031,55982.4,55982.4
1030.6,55944.1,55944.1
1030.2,56094.1,56094.1
1029.8,55773.5,55773.5
1029.4,55047.1,55047.1
1029,55808.8,55808.8
1028.6,56573.5,56573.5
1028.2,55952.9,55952.9
1027.8,55894.1,55894.1
1027.4,55220.6,55722.9
1027,56055.9,55722.5
1026.6,56205.9,55721.9
1026.2,56864.7,55720.5
1025.8,56588.2,55719.5
1025.4,57552.9,55717.2
1025,57941.2,55714.5
1024.6,59158.8,55710.3
1024.2,60791.2,55704.1
1023.8,65961.8,55691.5
1023.4,71820.6,55671.8
1023,77876.5,55644.7
1022.6,84120.6,55609.8
1022.2,87597.1,55570.7
1021.8,86217.6,55533.2
1021.4,81541.2,55501.4
1021,73879.4,55479
1020.6,66802.9,55465.1
1020.2,61426.5,55457.8
1019.8,59132.4,55453.3
1019.4,57414.7,55450.9
1019,57726.5,55448.1
1018.6,56452.9,55446.9
1018.2,56397.1,55445.8
1017.8,56085.3,55445
1017.4,55914.7,55444.4
1017,56011.8,55443.7
1016.6,55576.5,55443.5
1016.2,56200,55442.6
1015.8,55067.6,55442.2
1015.4,55058.8,55058.8
1015,55905.9,55905.9
1014.6,55644.1,55644.1
1014.2,55576.5,55576.5
1013.8,55744.1,55744.1
1013.4,55417.6,55417.6
1013,55902.9,55902.9
1012.6,55908.8,55908.8
1012.2,56338.2,56338.2
1011.8,55811.8,55811.8
1011.4,55532.4,55532.4
1011,55805.9,55805.9
