Binding Energy/eV,Intensity
1021.2,17550.0
1020.8,17814.7
1020.4,17902.9
1020.0,17420.6
1019.6,17288.2
1019.2,17355.9
1018.8,17594.1
1018.4,17082.4
1018.0,17450.0
1017.6,17382.4
1017.2,17620.6
1016.8,17414.7
1016.4,17158.8
1016.0,17829.4
1015.6,17376.5
1015.2,17441.2
1014.8,17650.0
1014.4,17132.4
1014.0,17688.2
1013.6,17523.5
1013.2,17517.6
1012.8,17452.9
1012.4,17397.1
1012.0,17335.3
1011.6,17361.8
1011.2,17297.1
1010.8,17714.7
1010.4,17258.8
1010.0,17326.5
1009.6,17847.1
1009.2,17600.0
1008.8,17547.1
1008.4,17808.8
1008.0,17555.9
1007.6,18105.9
1007.2,17879.4
1006.8,18111.8
1006.4,17973.5
1006.0,18294.1
1005.6,18176.5
1005.2,17852.9
1004.8,17923.5
1004.4,18429.4
1004.0,18100.0
1003.6,18408.8
1003.2,18635.3
1002.8,18735.3
1002.4,18552.9
1002.0,18702.9
1001.6,18523.5
1001.2,18394.1
1000.8,18708.8
1000.4,18720.6
1000.0,19047.1
999.6,18461.8
999.2,18632.4
998.8,19264.7
998.4,18208.8
998.0,18870.6
997.6,18902.9
997.2,18891.2
996.8,19023.5
996.4,18600.0
996.0,18441.2
995.6,18273.5
995.2,18250.0
994.8,18670.6
994.4,18608.8
994.0,18194.1
993.6,18470.6
993.2,17811.8
992.8,18641.2
992.4,17276.5
992.0,17897.1
991.6,18476.5
991.2,17967.6
990.8,18176.5
990.4,17932.4
990.0,17885.3
989.6,17702.9
989.2,17679.4
988.8,17623.5
