Number,Time/s,Voltage/V,Current/A,Current_density/muAcm
4186,5357.0,-0.68175,-3.9634e-06,-3.6030909090909087
4187,5358.0,-0.688125,-3.9681e-06,-3.607363636363636
4188,5359.0,-0.6945,-3.9739e-06,-3.612636363636363
4189,5361.0,-0.700875,-3.9848e-06,-3.622545454545455
4190,5362.0,-0.70725,-3.9962e-06,-3.63290909090909
4191,5363.0,-0.71375,-4.0069e-06,-3.6426363636363632
4192,5364.0,-0.720125,-4.0218e-06,-3.6561818181818175
4193,5366.0,-0.7265,-4.0347e-06,-3.667909090909091
4194,5367.0,-0.732875,-4.0504e-06,-3.682181818181818
4195,5368.0,-0.73925,-4.0677e-06,-3.697909090909091
4196,5370.0,-0.74575,-4.0773e-06,-3.7066363636363633
4197,5371.0,-0.752125,-4.0892e-06,-3.717454545454545
4198,5372.0,-0.7585,-4.0968e-06,-3.724363636363636
4199,5373.0,-0.764875,-4.1058e-06,-3.7325454545454537
4200,5375.0,-0.77125,-4.1133e-06,-3.739363636363636
4201,5376.0,-0.77775,-4.1218e-06,-3.747090909090909
4202,5377.0,-0.784125,-4.1287e-06,-3.753363636363636
4203,5379.0,-0.7905,-4.1356e-06,-3.759636363636364
4204,5380.0,-0.796875,-4.1387e-06,-3.762454545454545
4205,5381.0,-0.803375,-4.136e-06,-3.76
4206,5382.0,-0.80975,-4.1371e-06,-3.7609999999999992
4207,5384.0,-0.816125,-4.1341e-06,-3.758272727272727
4208,5385.0,-0.8225,-4.1345e-06,-3.7586363636363633
4209,5386.0,-0.828875,-4.1327e-06,-3.757
4210,5388.0,-0.835375,-4.1295e-06,-3.754090909090909
4211,5389.0,-0.84175,-4.1231e-06,-3.748272727272727
4212,5390.0,-0.848125,-4.1179e-06,-3.743545454545454
4213,5391.0,-0.8545,-4.1119e-06,-3.738090909090909
4214,5393.0,-0.860875,-4.1013e-06,-3.728454545454545
4215,5394.0,-0.867375,-4.0861e-06,-3.7146363636363633
4216,5395.0,-0.87375,-4.0732e-06,-3.7029090909090905
4217,5396.0,-0.880125,-4.0573e-06,-3.6884545454545448
4218,5398.0,-0.8865,-4.062e-06,-3.692727272727273
4219,5399.0,-0.892875,-4.0755e-06,-3.705
4220,5400.0,-0.899375,-4.0444e-06,-3.676727272727272
4221,5402.0,-0.90575,-4.0361e-06,-3.6691818181818174
4222,5403.0,-0.912125,-4.0181e-06,-3.652818181818181
4223,5404.0,-0.9185,-4.0012e-06,-3.637454545454545
4224,5405.0,-0.925,-3.9953e-06,-3.6320909090909086
4225,5407.0,-0.931375,-3.9862e-06,-3.623818181818182
4226,5408.0,-0.93775,-3.9768e-06,-3.615272727272727
4227,5409.0,-0.944125,-3.9739e-06,-3.612636363636363
4228,5411.0,-0.9505,-3.9657e-06,-3.605181818181818
4229,5412.0,-0.957,-3.9594e-06,-3.599454545454545
4230,5413.0,-0.963375,-3.956e-06,-3.596363636363636
4231,5414.0,-0.96975,-3.9555e-06,-3.5959090909090903
4232,5416.0,-0.976125,-3.9574e-06,-3.597636363636363
4233,5417.0,-0.9825,-3.9566e-06,-3.596909090909091
4234,5418.0,-0.989,-3.9615e-06,-3.601363636363636
4235,5420.0,-0.995375,-3.9663e-06,-3.605727272727272
4236,5421.0,-1.00175,-3.97e-06,-3.609090909090909
4237,5422.0,-1.008125,-3.9737e-06,-3.6124545454545447
4238,5423.0,-1.0145,-3.9806e-06,-3.618727272727272
4239,5425.0,-1.021,-3.9947e-06,-3.631545454545454
4240,5426.0,-1.027375,-3.9981e-06,-3.634636363636363
4241,5427.0,-1.03375,-4.0073e-06,-3.643
4242,5428.0,-1.040125,-4.0192e-06,-3.653818181818182
4243,5430.0,-1.046625,-4.0359e-06,-3.669
4244,5431.0,-1.053,-4.0404e-06,-3.673090909090909
4245,5432.0,-1.059375,-4.0524e-06,-3.684
4246,5434.0,-1.06575,-4.0672e-06,-3.697454545454545
4247,5435.0,-1.072125,-4.0842e-06,-3.7129090909090903
4248,5436.0,-1.078625,-4.0997e-06,-3.727
4249,5437.0,-1.085,-4.1219e-06,-3.747181818181818
4250,5439.0,-1.091375,-4.1382e-06,-3.761999999999999
4251,5440.0,-1.09775,-4.155e-06,-3.7772727272727273
4252,5441.0,-1.104125,-4.1757e-06,-3.7960909090909087
4253,5443.0,-1.110625,-4.1924e-06,-3.811272727272727
4254,5444.0,-1.117,-4.208e-06,-3.825454545454545
4255,5445.0,-1.123375,-4.2231e-06,-3.839181818181818
4256,5446.0,-1.12975,-4.2415e-06,-3.855909090909091
4257,5448.0,-1.136125,-4.2578e-06,-3.870727272727273
4258,5449.0,-1.142625,-4.3223e-06,-3.929363636363637
4259,5450.0,-1.149,-4.3403e-06,-3.945727272727273
4260,5452.0,-1.155375,-4.3361e-06,-3.941909090909091
4261,5453.0,-1.16175,-4.3362e-06,-3.942
4262,5454.0,-1.16825,-4.342e-06,-3.9472727272727273
